category,match,slot,text
0,290,3,what happened. the picks were fine. we were jsut edgy. we were gonna mid kunkka. ursas just a king. did anything except feed lol. sounds good. ggwp
1,290,6,jus. end ursa. just end. rofl. this fucking ursa try hard. ursa is a cunt haha. gg
0,290,7,every1 throw toys out pram. and storm spends more time typing than anything else. well im reporting storm and dusa. because you both tilted each other. lol
1,290,8,"i mjust gonna sit in base. this lineup is fucking stupid. this picks. these*. hell no. these guys dont know how to play. i had to ward . and when i went to gank they. would just look. just end. ill sit in base. 26 - 3. doom, aba, keep, dusa. no lock down. my lanes were dumb. i had to ward myself . ours was worse. you have 3 lock downs. i thought it'd be easy. then at 8 mins you were already up 6-0. before i did anything. nothing i can do when my team just run when i come to gank. easy game"
1,290,9,storm failed mid to ursa. and he whine. Better if you do tbh. i wish you sat in base since the start. just push now. storm failing mid to ursa. just a joker. lmao aba. thats fine you can report me. i hardly said anything. just responded to this dipshit. who kept whining. Storm dead. LOL. KILL HIM'. GO. NOW. report storm
0,294,6,np our SF is totaly autistic. ggwp. sf is brainlet. pathetic AM pick in unranked. carried by SF
0,296,0,noobs always goes core. ff pls. no way to win
0,297,0,good luck get fucked?. go back. let them def wtf. dude wtf
0,297,4,"Yeah, don't look at the WK. Please.... Just pretend the man doesn't exist..."
1,297,8,wow. cool. 0. 0. gg ez pa. pa realy shit. ?. ?. ?. look the shit pa. hahahahahahah . if u want kill pa so ez. trash pa. go dead plz. ez pa trasj. ez go fuck ur mather pla. plz. pa 1k trash
0,300,0,"ck you need to study, half your senteces make no sense"
1,300,2,G feed done mid. Pussy. g base?. Pussy?. Pussy?. G end mid. Tierd. 5 asshole move together. die together. Thx. Guys. ASshole. get fucked. So hard. Forgot game. Go study. You guys. Sucks. i was mid ck. gg. Fuc k you asshole. People
0,300,3,"have fun, lads. sorry guys"
0,300,8,nice feed top trol and spectra
0,303,9,aw. hyahha. }aw. wtf. gg. gg game
0,305,1,cmon guys 3v1 really?. how do you like it?. thats what your mum said
0,305,5,minced. bro. ggwp tinker
0,307,5,?. gg. never 1st spec again
0,307,7,we are late game
1,309,8,why you play whis shit heroes. pa. reported pa . stupid shit hero . for kids. PEACE OF SHIT . fast . peace of shits. y. gg . report pa 
0,312,0,gege. they dont have. buyback. go thorne. throne
0,312,1,i ss one hit. next. lucky
0,312,3,im tilted af wid sf. m so done. practise wid bots how to grave teammates at what time. dreamy girl
0,312,4,nice carry husk 
0,314,3,ill out retard your feed dont worry. lol
0,314,4,lol. i get it. jesus resurrects. u tried
0,314,5,let me repick plz. liar. penius. looool. end fast. gg
0,314,6,he said. keyboard issues. wait pls. ty
0,314,8,RETARDS VS FEEDERS. LOL. EZ MOERPH. TY. LOL. gg?
0,314,9,gg. now we get to see the purple cool aid man slowly punch our base to death. report alch for not having 0.25 seconds per atk. only 0.28. fucking nub
0,315,2,why TK?. he's good
0,315,3,HAHA. hes good . HAHA
0,315,6,sad
0,315,7,HAHAH. let sd carry. let me afk. HAHAHA. Rerpot sd later. HAHAHAHAHA. Wow. HAHAHa. Sd go. go sd. HAHAHA. HEHEHE. HAHAHAHa. nnoob. g oend. HAHAHAHa. wait let tk abandon. Sd is good. HAHAHA. Cancer sup. HAHAHA
0,316,2,noobs
0,316,3,SHOULD I STAY OR SHOULD I GO NOW. suicide.exe
1,316,4,nice combo. reported. just cuz i look. like a terrorist. doesnt mean i am part of you
0,317,1,gg tide builld . 2 hits ? . really . XD. geee gee . Bois . Come back . Nice rosh 
0,318,4,n1. am said no support . so nice 
0,318,5,come . rampage
0,318,6,Lol. all of us no tango. just axe. Dafaq?. Lol. epic fail. foq. Hah. Lol. foq. Lol. hahaha. Haha. Lol. haha ggwp. party???. Haha. boom. panis. ahahah. boom. Dead. lmao. wow. blame pa ako?. haha. Lol. hala oii. anu ba yann. aray. sakit amp. Lol. Haha. Aw. bweset. gang bang. that pudge]. cum back??. Lol. aw. Aw. ggwp. haha. Lol. haha. its dizasta!!!. ohh its from universe its a dizasta!! ppd!!. Awww. wp gg. well played good game. ggwp. haha
1,318,7,gg. Report am. so noob guyz. hays. gg. Rteport am
0,318,8,NO TANGO GAMER. TANG INANG PUDGE TO. DAMAY PA AKO. PAPER AS HELL. WAG KANA MAG HOOK PUDGE. KUNG KASAMA MO LANG I HOGHOOK MO TAENA. HOY PUDGE?. EZ. HAYZZ. DISASTA
0,318,9,gg . no support. so gg. pls end. pls end as fast as u can sirs. i . i trow
0,322,3,nice comming ta. Cm me. Ez. delet dota. Ez
0,324,5,",..... LOL. ggwp. ty for game"
0,325,0,thx 4 waiting. g? 
0,328,5,press j change weather. w8 la. she rec. w8 la
0,328,8,lol. rec wait.  ?. wait dude. asshole . mofo . n p . lol. lol. GG W P
0,328,9,press j for glyph of fortification
0,329,0,hell. hell. i dont know. lol. u?. ty ty. no safe pls. lol pck. i am not affraid. eminem. lol. why?. too early. sarrender?. no rich?. lol drw. lol puck. cool. lol 2 dust?. that loss money. lol. only me def?. gg?. lol sf
0,329,3,im cancer. wtf. waste
0,329,5,GG team mates. HHHHAHA. why quit ?. end. sorender. poor team mates. HAHAHA. HAHHAA. HAHAHA
0,330,0,CLICK. XDDDDDDDDDD. NICE VENGE DUDE. NICE. 'thanks for hlep. __. )). tyty. one day. click. one day
0,332,6,zip zap. fuck u am. wow. wooooooooooooooooooooooow. !. kiding me !. 1 hit dager. there is a tip for noob player like am. if u are some kind of retard. ply sup. like protecter. see. we really. Respect him. he is noob. but. team respect him. 1045 crit attack !. come on. i stay in funtain
1,332,9,what are we supposed to do without a carry?. report him
0,334,1,our spec run away when war. with full hp. GG
0,334,6,lel . didnt know that . thought fly woulndt get stop. pheonix . lol. omg the pheonix plays :D. gg wp 
0,338,1,best thing about it. Is that our russian duo. antimage and axe. cannot even fucking finish a game already won. Not even that.
1,338,2,report ursa thx. go fuck urself cuntù. stop focusing me. report axe later plz
0,339,1,blood last pick vs od. lol. last pick blood. go next ty. we lost ty. retard my fucking team . ty. luna no ulti lvl 10. lmao. blood last pick. xd. lvl 12 blood . ?. ty. od vs blood. xdddddddddddddddddddddddddddddddddddddddd. TY LAST PICK BLOOD. :D 
0,347,3,said the monkey picker :D. gg
0,347,9,HAHA. GOOD. HERO. XD. im done. NOOB. WTF. srly
0,348,1,im herald in my heart
0,348,4,that stick lion. felt bad right?
0,348,5,how are these ranks equal?. END. ???. ???
0,350,0,)). 180. niiice. ahaqha. lose mid in pudge. ez. ahah
0,350,9,push. i'm afk. go throne. pls
0,351,2,rage. worth it. haha. GG TIME MONGOL. nice mid. carregado
0,353,7,why almost every game for me pudje?
0,357,2,try hard. lol
0,357,5,go mid fast. all mid we wont def
1,359,2,afker. 30 sec no response i go. we'll just go and report this dude. he returned
1,359,4,REPOR. REPOR. REPOR. OK. I DON'T CARE MMR. 25?!?!?!?. U CARE?!?!?. I DON'T CARE IT. mr skelton*. THANK YOU FOR IMPROVING THE DOTA 2 COMMUNITY. REPOR MEEPO. !. i think you mean. ?
0,359,5,you forgot the T. wut. are you calling for aid?. Gg
1,360,5,gg wp. report clock and tinker. or whatever
0,360,6,wow rly? dood if you dont wanna play then dont qur a game sheesh
0,360,9,?. ?. my team doesnt deserve to get out of lp. so bye. just goinna serll my items and dc. ppl qwith lowm iq deserve lp forever
0,368,0,tinker?. dude the other team doesnt wanna hear you be a little bitch either
0,368,1,i like how my team saying how im losing when im under lvl once i reconnected. WHAT A JOE. JOKE. stfu lc mid. is ez to win. U GOT A 2nd move. TO COUNTER MY MISS. but my team dont know tha. they nv seen lc mid. what a joke. sorry lc come back is real. my es from last game came through. its cool. lol i carry him last game. he carry me this game. sounds fair. anyway tinker counter your teamate but u counter me. GG
0,368,2,It fucked me more than you.. RAGE
0,368,3,he says he will be right back. there he is . how the fuck did we win that . is lc talking to tinker?
1,368,6,rly?. fuck u. Stop pls. ur gonna lose. if u continue 1ing. hmmm. u use 1st against lv. lc. lmao. yep. i told u. stop it. lmao. ?. u still being trash. ur winning 4 void. not uu. sry. ?. i didnt play last game. :). XD. just end
0,369,5,i will show this game to all my support. how to win. oracle win this shit solo
0,370,2,can win. let us end fast
0,370,4,WP. PL . OK. :D. cant win bro . let us end. xD. warlock has scepter. i has scepter. Game de . :D
0,370,5,dc od. wait please. Thanks. GG
0,371,0,ii will rap u. ;). moron. yas. :. :D. :D :D :D : . u noob ember. AHHAhAHahA. ;d
0,374,0,Go. Finish. Come guys. We w8
1,374,1,And report tinker. report tinker
0,376,0,GG WP. lol. ((((. (((((((((((((((((. leg wanna party rating?. Lol no. Fuk this game. ????. Rofl
1,376,7,never pick my rune again bitch!. he gave up xD. sad he will never reach Walhalla :-D. xD. man riki you die like paper. for that shit i will make you bleed riki. Void Ulti and run like a bitch? :-D. omg. WTF was that :-D
0,377,0,"lol. hf boys, i love you. ggwp"
0,377,4,WHO WANTS TO LIVE FOREVER. clan mcloud for lyf. omni does. so much damage. holy shit. LOL. I KNOW RIGHT
0,377,6,THERE CAN ONLY BE ONE. GLHF. rude. <3. ah well. gg
0,377,9,now the natures buys right click items. fuck me
0,378,5,lmfao. lol I was talking to my brother
0,378,8,and i wasnt there. gg. cant fuck with oracle!. gg
0,384,3,ggwp. I commend your fucking rat
0,384,5,y me rubick?. poor me haha. give a bless. wp. commend me bro. hahahah
1,389,0,wait for ward. cant touch this. gg. we have sniper. gg. report sniper. :)))). report lich. buyed account ?
1,389,2,ACTUALLY KUNKA WHO DOESNT HAVE SHADOW BLADE IS IDIOT. i have now SB im not idiot anymore. gg
1,389,3,Report lich for cyring. please report medusa for being useless
0,389,4,gg. NOW. WHAT SHOUD I DO?. void plz ff. gg wp
0,389,5,.i.. you suck. push. kids. Push. luck win. gj
0,389,7,u  don't  need to  focus on me ... 3  carries  out  there ... lol. russian Guardians ... im  done   :). so ....carry  VS  lose  lol. how  can  this  LC  get  4  stars'  Archon ?
1,389,9,ok. noob lc. useless lc and dark. gg i dont have team ]. lc and moph useless. ez lc. the must noob lc ever. loot at this moph with 2 skadi lo. lol. pls report my team . pls report moph and lc. pls report lc and moph
1,404,4,report luny ty. or no u can commend him she won u game :)
0,406,7,lel. huh. calm lady boy. owakowak. NGAKAK. CALM LADY BOY. dont cry lady boy. DONT CRY. dont touch my support. COME. I AM NOT UR CLASS MAN. UR NOT MY BRACKET. i am not ur clas
0,408,4,why rage when you just win 1k?
0,409,9,grats. wew 5 man gank. nice items luna btw. very nice safelane. ?. ?. Lamo. nice smurf. nice first kill. Wait u didnt even kill me void. ur support stole it. nice. Cyka. ?. wew. Comeback is real. Ez rapier. Ez
1,410,9,well all what i can say. i wish u play with this Tusk next . Report tusk all. random on ranekd match
0,411,5,we w8ed your fucking weaver. have manners trash. russian tards. Really nigga?
1,411,6,fuck u 3x monkeys. pudge lock and this warm shit. shut up a fourth monkey alert. noobbbbie. MORE LUCK. 3v1. sure. HAHAHAHAHA. NICE. ?. U're jst good with 2x+ team mates. ??. ??. 5x monkeys. HAHAHAHA. XDD. hard. game. xD
0,414,0,why you ban berd. iz my berd. plz no ban. i name him . roberd. roberd the penix. my children africa. ???. Duact best drug. higher than twin tower
1,414,2,Wtf. halsennnnnnnnnnnnn. whyyy. hey divine. i dont know why. u last pick. LC. like noob. i need rampage. can i. pls. fuck u. LOIL. bb. feed me rampage. we got a deal
0,417,2,"Good luck, get fucked.. gg"
0,424,0,eng mb?. brain dead?. ? how long. wards checking?). sry. sry. ur puck braindead. anyway u dead. hahaha. ty. well. ill commend u. so wheres lina?. can i put my saber inside u?. sure. for commend. fuck. but u dead. ahahah. ??. coz im so good. ty. guys. we have medusa. fuck. well guys. told ya. we have medusa. that freefarm when u farm me. i know what u feel. sure im god. ez. gg
0,424,6,wait. my puck .  have lag
0,424,7,dont kill me i will commend . commend > 25 mmr . cmon man think about it . idc mmr i care commends. xD. me?. jebaited.com . nice hero bro. bulldog fans 1 hero pool LUL . gg
1,424,8,kos omak. i agree. gimme. call roshan. mid. tmw. u so good. report this dis. holy wshit. dunno. working maybe. ?!. u are not. +. can u stfu ?!?!
0,426,2,24 armor lvl 14 hero. balanced af
0,426,4,this is called balance. i hate doin this. i know. i hate myself. alreadyt. its just. tjhis shitty hero.  i hate her. this hero is broken. ill start spamming. we have sf if u didnt notice
1,426,6,i see. yeah. fucking hell. nmmice hero. but too bad u r not playing mid. rly. :). i am so bad. sorry. report this lc ty. GG
0,426,9,CROSS. TORRENT. PLEASE. TODAY?. OOOO
1,433,4,why would heralds pick mid. dead herald mid. again top. by selling ur mom's anus?. 7-27 still they out of base. at t2. wait dont racks
1,434,9,fucktard russian. .... jebem ti poreklo mrtvo. you russians are retards. but this sniper. is most retarded. person i have ever played with. pizdec. pizdec. you all russian retards?. f WEIO ggf . d As. Das. a. im out. bye
1,461,5,Wtf. report. GG. FUCK WIND. REPORT THIS MOTHER FUCKER. FUCK WIND. REPORT. REPORT WIND. FUCK THIS. REPORT WIND
1,484,1,hf. gg. noob team. ez. lol wp. EZ NOOB GAME. wp brisle. tattack blade male . be again 10 years kid :D. pudge???. so noob team omg. even hit him is problem?. kokot. pudge feeded. thats it. gg. commend pudge for feeding. ez
1,491,3,ENDS please. COME. please. ????. GG. ends'. dont do that. SEE. God help me. hod. NO fsbikjg. DIE. please. ENDS. ENDS. ENDS. ENDS. NEd. ENDS. MIrana idea so good. mirana always said gho. GO. GO GO. he always go. never deff. we didnt need to deff. coz we are gg. ahah. i think that pinoy player so fuck. without itrem. BKb and deso. ajhajua. ENds . ends. yeah sad. have idiot miranma. who always said go. GO. didnt know how to deff. miranaa player. Dont deff. just end. mirana player. gg. tarras. 5000 hit didnt die. coz they are mirana. go mirana go . go mirana mirana go. wow mirana plater. SEE. Ez mirana
1,517,4,lol . xdx. lol. xdxd. blame my noob teammates. lol jajajajajaja suckers got solo killed. lol noob. suck a noob. lol. my team lost. i won solo . lol noob PA. nope. lol. ez kill. now im the pro. you pussies better quit. commend pls. no joke lol poor gays. lol. lol'. poor BKB. lol. lol. lol. cute. lol noob. jajaja
1,523,1,EZ. medusa. hahaha. lol. YEAH. good to throw . AHAHA. when you got noob carry :D . AHHAA. paasive . only 2nd ans ulti. WT. WTF. paassive medusa. noob . sk . fucking noob medusa. SAD
1,544,5,suck my dick . report pls my teams
1,554,1,we have support invoker here. first pick invoker average last hits 100. and he wants mid. easyreport?. 100 avg last hits. first pick mid invoker. im getting ready a report for mid. 100 last hits mid. wow. OVER 20 games. over 20 games. i use supp each game more than 100 last hits. fucking invoker. FIRST PICK MID. 100 avg last hits. useless cunt. useless pa. fail dog with so much supp. brainless cunt. so fucking useless. 0-3. lol. pretend now. 0-3 barking useless. and pretend. a team of useless dogs. useless carry. fucking pa dog. our pa. totally useless. totally. lvl 18 rubik. lvl 16 pa. fucking dog. nah. report offlane and pa. idiot. see luna. fucking idiot offlaner. useless cunt. gg morons. useless pa. 0 dmg
1,554,4,end this shit we've injoker. im really so fck up. all of my game is so fck up cuz this cancers. look invo's stats. STARTER PACK OF INJOKER. haha. HAHAHAHA. how did you lose in our injoker. u mean this server?. REPORT ZEUS. HELP. wHAT AN ASSHOLE. IM SO STRESS WITH THIS CANCERS. EVERY FCKING GAME. LOL. GG. REPORT ZEUS AND PA. eVERY FCKING GAME . EVERY GAME I HAVE CANCER TEAMMATES
1,583,8,wait pl0x. gg. I feed. report cm. lmao. saf. sad. yeye
0,594,2,u guys arent gonna win this game. its too ez. u mean the 1v2 mid?. why wudnt i go shadow blade rofl. what happened?. wat?. i todl u ez game. tsn replay. ez win though. dota isnt about the kills . but u wudnt know. too ez. lullululul
1,702,2,END. i lag. so mnuch. and us till gankl. fuc kfof bro. GG. GO. CONGfruckngcrats u kill algging ovker. ru not even good. jst kill me. im doNe. ye we had like. 60% packet. entire game
